CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031500202734001QW0F;01/06/2022;1;0,172;;;R
ES0031500202734001QW0F;01/06/2022;2;0,149;;;R
ES0031500202734001QW0F;01/06/2022;3;0,159;;;R
ES0031500202734001QW0F;01/06/2022;4;0,146;;;R
ES0031500202734001QW0F;01/06/2022;5;0,135;;;R
ES0031500202734001QW0F;01/06/2022;6;0,143;;;R
ES0031500202734001QW0F;01/06/2022;7;0,143;;;R
ES0031500202734001QW0F;01/06/2022;8;0,181;;;R
ES0031500202734001QW0F;01/06/2022;9;0,135;;;R
ES0031500202734001QW0F;01/06/2022;10;0,119;;;R
ES0031500202734001QW0F;01/06/2022;11;0,073;;;R
ES0031500202734001QW0F;01/06/2022;12;0,123;;;R
ES0031500202734001QW0F;01/06/2022;13;0,139;;;R
ES0031500202734001QW0F;01/06/2022;14;0,181;;;R
ES0031500202734001QW0F;01/06/2022;15;0,196;;;R
ES0031500202734001QW0F;01/06/2022;16;0,586;;;R
ES0031500202734001QW0F;01/06/2022;17;0,398;;;R
ES0031500202734001QW0F;01/06/2022;18;0,254;;;R
ES0031500202734001QW0F;01/06/2022;19;0,26;;;R
ES0031500202734001QW0F;01/06/2022;20;0,27;;;R
ES0031500202734001QW0F;01/06/2022;21;0,277;;;R
ES0031500202734001QW0F;01/06/2022;22;0,147;;;R
ES0031500202734001QW0F;01/06/2022;23;0,271;;;R
ES0031500202734001QW0F;01/06/2022;24;0,419;;;R
ES0031500202734001QW0F;02/06/2022;1;0,413;;;R
ES0031500202734001QW0F;02/06/2022;2;0,301;;;R
ES0031500202734001QW0F;02/06/2022;3;0,16;;;R
ES0031500202734001QW0F;02/06/2022;4;0,154;;;R
ES0031500202734001QW0F;02/06/2022;5;0,167;;;R
ES0031500202734001QW0F;02/06/2022;6;0,139;;;R
ES0031500202734001QW0F;02/06/2022;7;0,143;;;R
ES0031500202734001QW0F;02/06/2022;8;0,166;;;R
ES0031500202734001QW0F;02/06/2022;9;0,218;;;R
ES0031500202734001QW0F;02/06/2022;10;0,216;;;R
ES0031500202734001QW0F;02/06/2022;11;0,237;;;R
ES0031500202734001QW0F;02/06/2022;12;0,221;;;R
ES0031500202734001QW0F;02/06/2022;13;0,278;;;R
ES0031500202734001QW0F;02/06/2022;14;0,274;;;R
ES0031500202734001QW0F;02/06/2022;15;0,217;;;R
ES0031500202734001QW0F;02/06/2022;16;0,222;;;R
ES0031500202734001QW0F;02/06/2022;17;0,212;;;R
ES0031500202734001QW0F;02/06/2022;18;0,332;;;R
ES0031500202734001QW0F;02/06/2022;19;0,368;;;R
ES0031500202734001QW0F;02/06/2022;20;0,871;;;R
ES0031500202734001QW0F;02/06/2022;21;0,734;;;R
ES0031500202734001QW0F;02/06/2022;22;0,327;;;R
ES0031500202734001QW0F;02/06/2022;23;0,357;;;R
ES0031500202734001QW0F;02/06/2022;24;0,301;;;R
ES0031500202734001QW0F;03/06/2022;1;0,252;;;R
ES0031500202734001QW0F;03/06/2022;2;0,603;;;R
ES0031500202734001QW0F;03/06/2022;3;0,433;;;R
ES0031500202734001QW0F;03/06/2022;4;0,157;;;R
ES0031500202734001QW0F;03/06/2022;5;0,162;;;R
ES0031500202734001QW0F;03/06/2022;6;0,146;;;R
ES0031500202734001QW0F;03/06/2022;7;0,148;;;R
ES0031500202734001QW0F;03/06/2022;8;0,168;;;R
ES0031500202734001QW0F;03/06/2022;9;0,153;;;R
ES0031500202734001QW0F;03/06/2022;10;0,163;;;R
ES0031500202734001QW0F;03/06/2022;11;0,187;;;R
ES0031500202734001QW0F;03/06/2022;12;0,136;;;R
ES0031500202734001QW0F;03/06/2022;13;0,155;;;R
ES0031500202734001QW0F;03/06/2022;14;0,156;;;R
ES0031500202734001QW0F;03/06/2022;15;0,174;;;R
ES0031500202734001QW0F;03/06/2022;16;0,149;;;R
ES0031500202734001QW0F;03/06/2022;17;0,317;;;R
ES0031500202734001QW0F;03/06/2022;18;0,299;;;R
ES0031500202734001QW0F;03/06/2022;19;0,284;;;R
ES0031500202734001QW0F;03/06/2022;20;0,219;;;R
