2023;Salida;Cenit;Horas de sol;;Inicio del crepúsculo astronómico;Inicio del crepúsculo náutico;Inicio del crepúsculo civil;Final del crepúsculo civil;Final del crepúsculo náutico;Final del crepúsculo astronómico
01/01/2023;09:11;13:53;18:35;09:24:32;+0:38;07:34;08:06;08:40;19:05;19:39;20:12
02/01/2023;09:11;13:53;18:36;09:25:13;+0:41;07:34;08:07;08:40;19:06;19:40;20:13
03/01/2023;09:11;13:54;18:37;09:25:58;+0:45;07:34;08:07;08:41;19:07;19:41;20:13
04/01/2023;09:11;13:54;18:38;09:26:46;+0:48;07:34;08:07;08:41;19:08;19:41;20:14
05/01/2023;09:11;13:55;18:38;09:27:39;+0:53;07:34;08:07;08:41;19:09;19:42;20:15
06/01/2023;09:11;13:55;18:39;09:28:35;+0:56;07:34;08:07;08:41;19:09;19:43;20:16
07/01/2023;09:11;13:56;18:40;09:29:33;+0:58;07:34;08:07;08:41;19:10;19:44;20:17
08/01/2023;09:11;13:56;18:41;09:30:36;+1:03;07:34;08:07;08:41;19:11;19:45;20:17
09/01/2023;09:11;13:56;18:42;09:31:42;+1:06;07:34;08:07;08:41;19:12;19:46;20:18
10/01/2023;09:10;13:57;18:43;09:32:51;+1:09;07:34;08:07;08:40;19:13;19:47;20:19
11/01/2023;09:10;13:57;18:44;09:34:05;+1:14;07:34;08:07;08:40;19:14;19:48;20:20
12/01/2023;09:10;13:58;18:45;09:35:20;+1:15;07:34;08:07;08:40;19:15;19:48;20:21
13/01/2023;09:10;13:58;18:46;09:36:40;+1:20;07:34;08:07;08:40;19:16;19:49;20:22
14/01/2023;09:09;13:58;18:47;09:38:01;+1:21;07:34;08:06;08:40;19:17;19:50;20:23
15/01/2023;09:09;13:59;18:48;09:39:26;+1:25;07:34;08:06;08:39;19:18;19:51;20:24
16/01/2023;09:09;13:59;18:49;09:40:55;+1:29;07:33;08:06;08:39;19:19;19:52;20:25
17/01/2023;09:08;13:59;18:51;09:42:26;+1:31;07:33;08:05;08:39;19:20;19:53;20:26
18/01/2023;09:08;14:00;18:52;09:44:00;+1:34;07:33;08:05;08:38;19:21;19:54;20:27
19/01/2023;09:07;14:00;18:53;09:45:35;+1:35;07:33;08:05;08:38;19:22;19:55;20:27
20/01/2023;09:07;14:00;18:54;09:47:14;+1:39;07:32;08:04;08:37;19:23;19:56;20:28
21/01/2023;09:06;14:01;18:55;09:48:56;+1:42;07:32;08:04;08:37;19:24;19:57;20:29
